1,2,3,4,5,6,7,8,9,,,,,,,,,,,
,626, Ramanathapuram,1901," 442,067 ",-,-," 204,816 "," 237,251 ",,,,,,,,,,,
,,,1911," 477,726 ","+35,659    ",+8.07          ," 221,575 "," 256,151 ",,,,,,,,,,,
,,,1921," 479,202 ","+1,476    ",+.31          ," 221,223 "," 257,979 ",,,,,,,,,,,
,,,1931," 517,471 ","+38,269    ",+7.99          ," 238,316 "," 279,155 ",,,,,,,,,,,
,,,1941," 577,826 ","+60,355    ",+11.66          ," 272,406 "," 305,420 ",,,,,,,,,,,
,,,1951," 551,125 ","-26,701 ",-4.62 ," 255,882 "," 295,243 ",,,,,,,,,,,
,,,1961," 702,168 ","+151,043    ",+27.41          ," 335,842 "," 366,326 ",,,,,,,,,,,
,,,1971," 822,623 ","+120,455    ",+17.15          ," 397,863 "," 424,760 ",,,,,,,,,,,
,,,1981," 998,295 ","+175,672    ",+21.36          ," 491,650 "," 506,645 ",,,,,,,,,,,
,,,1991," 1,119,153 ","+120,858    ",+12.11          ," 556,519 "," 562,634 ",,,,,,,,,,,
,,,2001," 1,187,604 ","+68,451    ",+6.12          ," 583,376 "," 604,228 ",,,,,,,,,,,
,,,2011," 1,353,445 ","+165,841    ",+13.96          ," 682,658 "," 670,787 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,627, Thoothukkudi,1901," 705,534 ",-,-," 343,164 "," 362,370 ",,,,,,,,,,,
,,,1911," 762,625 ","+57,091    ",+8.09          ," 369,490 "," 393,135 ",,,,,,,,,,,
,,,1921," 787,166 ","+24,541    ",+3.22          ," 381,319 "," 405,847 ",,,,,,,,,,,
,,,1931," 840,656 ","+53,490    ",+6.80          ," 405,136 "," 435,520 ",,,,,,,,,,,
,,,1941," 910,729 ","+70,073    ",+8.34          ," 441,559 "," 469,170 ",,,,,,,,,,,
,,,1951," 957,735 ","+47,006    ",+5.16          ," 461,871 "," 495,864 ",,,,,,,,,,,
,,,1961," 1,052,970 ","+95,235    ",+9.94          ," 510,072 "," 542,898 ",,,,,,,,,,,
,,,1971," 1,228,295 ","+175,325    ",+16.65          ," 598,292 "," 630,003 ",,,,,,,,,,,
,,,1981," 1,370,289 ","+141,994    ",+11.56          ," 666,713 "," 703,576 ",,,,,,,,,,,
,,,1991," 1,475,872 ","+105,583    ",+7.71          ," 719,526 "," 756,346 ",,,,,,,,,,,
,,,2001," 1,592,769 ","+116,897    ",+7.92          ," 776,880 "," 815,889 ",,,,,,,,,,,
