1,2,3,4,5,6,7,8,9,,,,,,
,,,1951," 235,313 ","+17,935    ",+8.25          ," 116,674 "," 118,639 ",,,,,,
,,,1961," 247,185 ","+11,872    ",+5.05          ," 124,981 "," 122,204 ",,,,,,
,,,1971," 292,876 ","+45,691    ",+18.48          ," 149,441 "," 143,435 ",,,,,,
,,,1981," 368,251 ","+75,375    ",+25.74          ," 188,455 "," 179,796 ",,,,,,
,,,1991," 446,726 ","+78,475    ",+21.31          ," 230,511 "," 216,215 ",,,,,,
,,,2001," 514,853 ","+68,127    ",+15.25          ," 264,549 "," 250,304 ",,,,,,
,,,2011," 579,505 ","+64,652    ",+12.56          ," 296,690 "," 282,815 ",,,,,,
,,,,,,,,,,,,,,
21,372,Sambalpur,1901," 215,645 ",                       --- ,                    --- ," 106,850 "," 108,795 ",,,,,,
,,,1911," 249,710 ","+34,065    ",+15.80          ," 123,086 "," 126,624 ",,,,,,
,,,1921," 261,043 ","+11,333    ",+4.54          ," 128,379 "," 132,664 ",,,,,,
,,,1931," 291,723 ","+30,680    ",+11.75          ," 142,752 "," 148,971 ",,,,,,
,,,1941," 328,576 ","+36,853    ",+12.63          ," 161,466 "," 167,110 ",,,,,,
,,,1951," 355,685 ","+27,109    ",+8.25          ," 179,492 "," 176,193 ",,,,,,
,,,1961," 445,745 ","+90,060    ",+25.32          ," 225,506 "," 220,239 ",,,,,,
,,,1971," 549,157 ","+103,412    ",+23.20          ," 280,384 "," 268,773 ",,,,,,
,,,1981," 682,700 ","+133,543    ",+24.32          ," 348,629 "," 334,071 ",,,,,,
,,,1991," 809,017 ","+126,317    ",+18.50          ," 413,541 "," 395,476 ",,,,,,
,,,2001," 930,476 ","+121,459    ",+15.01          ," 472,514 "," 457,962 ",,,,,,
,,,2011," 1,041,099 ","+110,623    ",+11.89          ," 526,877 "," 514,222 ",,,,,,
,,,,,,,,,,,,,,
21,373,Debagarh,1901," 59,882 ",                       --- ,                    --- ," 29,671 "," 30,211 ",,,,,,
,,,1911," 69,341 ","+9,459    ",+15.80          ," 34,179 "," 35,162 ",,,,,,
,,,1921," 72,488 ","+3,147    ",+4.54          ," 35,649 "," 36,839 ",,,,,,
,,,1931," 81,007 ","+8,519    ",+11.75          ," 39,640 "," 41,367 ",,,,,,
,,,1941," 91,241 ","+10,234    ",+12.63          ," 44,837 "," 46,404 ",,,,,,
,,,1951," 98,769 ","+7,528    ",+8.25          ," 48,930 "," 49,839 ",,,,,,
,,,1961," 122,634 ","+23,865    ",+24.16          ," 61,272 "," 61,362 ",,,,,,
,,,1971," 163,243 ","+40,609    ",+33.11          ," 82,558 "," 80,685 ",,,,,,
,,,1981," 197,671 ","+34,428    ",+21.09          ," 100,392 "," 97,279 ",,,,,,
,,,1991," 234,238 ","+36,567    ",+18.50          ," 118,172 "," 116,066 ",,,,,,
,,,2001," 274,108 ","+39,870    ",+17.02          ," 138,408 "," 135,700 ",,,,,,
,,,2011," 312,520 ","+38,412    ",+14.01          ," 158,230 "," 154,290 ",,,,,,
,,,,,,,,,,,,,,
21,374,Sundargarh,1901," 277,173 ",                       --- ,                    --- ," 141,493 "," 135,680 ",,,,,,
,,,1911," 362,138 ","+84,965    ",+30.65          ," 182,149 "," 179,989 ",,,,,,
,,,1921," 377,449 ","+15,311    ",+4.23          ," 188,344 "," 189,105 ",,,,,,
,,,1931," 436,860 ","+59,411    ",+15.74          ," 216,985 "," 219,875 ",,,,,,
,,,1941," 490,708 ","+53,848    ",+12.33          ," 243,296 "," 247,412 ",,,,,,
,,,1951," 552,203 ","+61,495    ",+12.53          ," 274,401 "," 277,802 ",,,,,,
,,,1961," 758,617 ","+206,414    ",+37.38          ," 396,214 "," 362,403 ",,,,,,
,,,1971," 1,030,758 ","+272,141    ",+35.87          ," 530,836 "," 499,922 ",,,,,,
,,,1981," 1,337,871 ","+307,113    ",+29.79          ," 692,749 "," 645,122 ",,,,,,
,,,1991," 1,573,617 ","+235,746    ",+17.62          ," 812,707 "," 760,910 ",,,,,,
,,,2001," 1,830,673 ","+257,056    ",+16.34          ," 935,601 "," 895,072 ",,,,,,
,,,2011," 2,093,437 ","+262,764    ",+14.35          ," 1,061,147 "," 1,032,290 ",,,,,,
,,,,,,,,,,,,,,
21,375,Kendujhar,1901," 285,758 ",                       --- ,                    --- ," 144,072 "," 141,686 ",,,,,,
,,,1911," 364,702 ","+78,944    ",+27.63          ," 182,020 "," 182,682 ",,,,,,
,,,1921," 379,496 ","+14,794    ",+4.06          ," 186,785 "," 192,711 ",,,,,,
,,,1931," 460,609 ","+81,113    ",+21.37          ," 227,143 "," 233,466 ",,,,,,
,,,1941," 529,786 ","+69,177    ",+15.02          ," 263,475 "," 266,311 ",,,,,,
,,,1951," 588,441 ","+58,655    ",+11.07          ," 294,902 "," 293,539 ",,,,,,
,,,1961," 743,315 ","+154,874    ",+26.32          ," 375,090 "," 368,225 ",,,,,,
,,,1971," 955,514 ","+212,199    ",+28.55          ," 483,334 "," 472,180 ",,,,,,
,,,1981," 1,114,622 ","+159,108    ",+16.65          ," 562,157 "," 552,465 ",,,,,,
