1,2,3,4,5,6,7,8,9,,,,,,
,,,1911," 164,230 ","+46,499    ",+39.50          ," 80,910 "," 83,320 ",,,,,,
,,,1921," 189,687 ","+25,457    ",+15.50          ," 93,544 "," 96,143 ",,,,,,
,,,1931," 211,684 ","+21,997    ",+11.60          ," 104,514 "," 107,170 ",,,,,,
,,,1941," 229,296 ","+17,612    ",+8.32          ," 113,509 "," 115,787 ",,,,,,
,,,1951," 241,413 ","+12,117    ",+5.28          ," 119,986 "," 121,427 ",,,,,,
,,,1961," 274,515 ","+33,102    ",+13.71          ," 136,868 "," 137,647 ",,,,,,
,,,1971," 322,578 ","+48,063    ",+17.51          ," 161,836 "," 160,742 ",,,,,,
,,,1981," 397,386 ","+74,808    ",+23.19          ," 200,249 "," 197,137 ",,,,,,
,,,1991," 476,815 ","+79,429    ",+19.99          ," 240,985 "," 235,830 ",,,,,,
,,,2001," 541,835 ","+65,020    ",+13.64          ," 275,601 "," 266,234 ",,,,,,
,,,2011," 610,183 ","+68,348    ",+12.61          ," 311,312 "," 298,871 ",,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,393,Balangir,1901," 329,894 ",                       --- ,                    --- ," 161,590 "," 168,304 ",,,,,,
,,,1911," 460,187 ","+130,293    ",+39.50          ," 226,716 "," 233,471 ",,,,,,
,,,1921," 531,520 ","+71,333    ",+15.50          ," 262,117 "," 269,403 ",,,,,,
,,,1931," 593,160 ","+61,640    ",+11.60          ," 292,858 "," 300,302 ",,,,,,
,,,1941," 642,508 ","+49,348    ",+8.32          ," 318,064 "," 324,444 ",,,,,,
,,,1951," 676,462 ","+33,954    ",+5.28          ," 336,620 "," 339,842 ",,,,,,
,,,1961," 794,171 ","+117,709    ",+17.40          ," 397,351 "," 396,820 ",,,,,,
,,,1971," 941,079 ","+146,908    ",+18.50          ," 472,129 "," 468,950 ",,,,,,
,,,1981," 1,061,727 ","+120,648    ",+12.82          ," 532,189 "," 529,538 ",,,,,,
,,,1991," 1,230,938 ","+169,211    ",+15.94          ," 621,486 "," 609,452 ",,,,,,
,,,2001," 1,337,194 ","+106,256    ",+8.63          ," 673,985 "," 663,209 ",,,,,,
,,,2011," 1,648,997 ","+311,803    ",+23.32          ," 830,097 "," 818,900 ",,,,,,
,,,,,,,,,,,,,,
21,394,Nuapada,1901," 122,559 ",                       --- ,                    --- ," 61,165 "," 61,394 ",,,,,,
,,,1911," 147,489 ","+24,930    ",+20.34          ," 72,875 "," 74,614 ",,,,,,
,,,1921," 150,180 ","+2,691    ",+1.82          ," 73,962 "," 76,218 ",,,,,,
,,,1931," 178,787 ","+28,607    ",+19.05          ," 87,838 "," 90,949 ",,,,,,
,,,1941," 203,379 ","+24,592    ",+13.75          ," 99,941 "," 103,438 ",,,,,,
,,,1951," 219,850 ","+16,471    ",+8.10          ," 109,339 "," 110,511 ",,,,,,
,,,1961," 267,272 ","+47,422    ",+21.57          ," 132,399 "," 134,873 ",,,,,,
,,,1971," 338,894 ","+71,622    ",+26.80          ," 168,514 "," 170,380 ",,,,,,
,,,1981," 392,683 ","+53,789    ",+15.87          ," 195,105 "," 197,578 ",,,,,,
,,,1991," 469,482 ","+76,799    ",+19.56          ," 234,462 "," 235,020 ",,,,,,
,,,2001," 530,690 ","+61,208    ",+13.04          ," 264,396 "," 266,294 ",,,,,,
,,,2011," 610,382 ","+79,692    ",+15.02          ," 301,962 "," 308,420 ",,,,,,
,,,,,,,,,,,,,,
21,395,Kalahandi,1901," 326,578 ",                       --- ,                    --- ," 162,985 "," 163,593 ",,,,,,
,,,1911," 393,006 ","+66,428    ",+20.34          ," 194,187 "," 198,819 ",,,,,,
,,,1921," 400,178 ","+7,172    ",+1.82          ," 197,083 "," 203,095 ",,,,,,
,,,1931," 476,407 ","+76,229    ",+19.05          ," 234,058 "," 242,349 ",,,,,,
,,,1941," 541,934 ","+65,527    ",+13.75          ," 266,309 "," 275,625 ",,,,,,
,,,1951," 585,825 ","+43,891    ",+8.10          ," 289,639 "," 296,186 ",,,,,,
,,,1961," 679,602 ","+93,777    ",+16.01          ," 336,367 "," 343,235 ",,,,,,
,,,1971," 824,975 ","+145,373    ",+21.39          ," 410,415 "," 414,560 ",,,,,,
,,,1981," 946,509 ","+121,534    ",+14.73          ," 471,058 "," 475,451 ",,,,,,
,,,1991," 1,130,903 ","+184,394    ",+19.48          ," 565,595 "," 565,308 ",,,,,,
,,,2001," 1,335,494 ","+204,591    ",+18.09          ," 667,526 "," 667,968 ",,,,,,
,,,2011," 1,576,869 ","+241,375    ",+18.07          ," 787,101 "," 789,768 ",,,,,,
,,,,,,,,,,,,,,
21,396,Rayagada,1901," 186,480 ",                       --- ,                    --- ," 94,842 "," 91,638 ",,,,,,
,,,1911," 224,190 ","+37,710    ",+20.22          ," 112,179 "," 112,011 ",,,,,,
,,,1921," 217,200 ","-6,990 ",-3.12 ," 108,613 "," 108,587 ",,,,,,
,,,1931," 256,152 ","+38,952    ",+17.93          ," 127,843 "," 128,309 ",,,,,,
,,,1941," 303,663 ","+47,511    ",+18.55          ," 152,134 "," 151,529 ",,,,,,
,,,1951," 341,241 ","+37,578    ",+12.37          ," 169,917 "," 171,324 ",,,,,,
,,,1961," 403,471 ","+62,230    ",+18.24          ," 200,734 "," 202,737 ",,,,,,
,,,1971," 511,333 ","+107,862    ",+26.73          ," 255,137 "," 256,196 ",,,,,,
,,,1981," 608,751 ","+97,418    ",+19.05          ," 301,405 "," 307,346 ",,,,,,
,,,1991," 713,984 ","+105,233    ",+17.29          ," 354,911 "," 359,073 ",,,,,,
,,,2001," 831,109 ","+117,125    ",+16.40          ," 409,792 "," 421,317 ",,,,,,
,,,2011," 967,911 ","+136,802    ",+16.46          ," 471,960 "," 495,951 ",,,,,,
,,,,,,,,,,,,,,
21,397,Nabarangapur,1901," 180,597 ",                       --- ,                    --- ," 91,850 "," 88,747 ",,,,,,
,,,1911," 217,118 ","+36,521    ",+20.22          ," 108,641 "," 108,477 ",,,,,,
,,,1921," 210,348 ","-6,770 ",-3.12 ," 105,187 "," 105,161 ",,,,,,
,,,1931," 248,072 ","+37,724    ",+17.93          ," 123,811 "," 124,261 ",,,,,,
,,,1941," 294,084 ","+46,012    ",+18.55          ," 147,335 "," 146,749 ",,,,,,
,,,1951," 330,476 ","+36,392    ",+12.37          ," 166,600 "," 163,876 ",,,,,,
,,,1961," 422,325 ","+91,849    ",+27.79          ," 213,062 "," 209,263 ",,,,,,
,,,1971," 547,944 ","+125,619    ",+29.74          ," 276,319 "," 271,625 ",,,,,,
,,,1981," 681,579 ","+133,635    ",+24.39          ," 342,270 "," 339,309 ",,,,,,
,,,1991," 846,659 ","+165,080    ",+24.22          ," 425,759 "," 420,900 ",,,,,,
,,,2001," 1,025,766 ","+179,107    ",+21.15          ," 515,162 "," 510,604 ",,,,,,
,,,2011," 1,220,946 ","+195,180    ",+19.03          ," 604,812 "," 616,134 ",,,,,,
,,,,,,,,,,,,,,
21,398,Koraput,1901," 297,440 ",                       --- ,                    --- ," 151,277 "," 146,163 ",,,,,,
,,,1911," 357,588 ","+60,148    ",+20.22          ," 178,928 "," 178,660 ",,,,,,
,,,1921," 346,438 ","-11,150 ",-3.12 ," 173,241 "," 173,197 ",,,,,,
,,,1931," 408,568 ","+62,130    ",+17.93          ," 203,913 "," 204,655 ",,,,,,
,,,1941," 484,348 ","+75,780    ",+18.55          ," 242,657 "," 241,691 ",,,,,,
,,,1951," 544,286 ","+59,938    ",+12.37          ," 274,742 "," 269,544 ",,,,,,
,,,1961," 593,300 ","+49,014    ",+9.01          ," 299,441 "," 293,859 ",,,,,,
,,,1971," 715,139 ","+121,839    ",+20.54          ," 361,519 "," 353,620 ",,,,,,
,,,1981," 858,506 ","+143,367    ",+20.05          ," 431,861 "," 426,645 ",,,,,,
,,,1991," 1,029,577 ","+171,071    ",+19.93          ," 517,074 "," 512,503 ",,,,,,
,,,2001," 1,180,637 ","+151,060    ",+14.67          ," 590,743 "," 589,894 ",,,,,,
,,,2011," 1,379,647 ","+199,010    ",+16.86          ," 678,809 "," 700,838 ",,,,,,
,,,,,,,,,,,,,,
21,399,Malkangiri,1901," 58,275 ",                       --- ,                    --- ," 29,638 "," 28,637 ",,,,,,
,,,1911," 70,059 ","+11,784    ",+20.22          ," 35,056 "," 35,003 ",,,,,,
,,,1921," 67,874 ","-2,185 ",-3.12 ," 33,941 "," 33,933 ",,,,,,
,,,1931," 80,047 ","+12,173    ",+17.93          ," 39,951 "," 40,096 ",,,,,,
,,,1941," 94,894 ","+14,847    ",+18.55          ," 47,542 "," 47,352 ",,,,,,
,,,1951," 106,637 ","+11,743    ",+12.37          ," 52,917 "," 53,720 ",,,,,,
,,,1961," 141,955 ","+35,318    ",+33.12          ," 71,041 "," 70,914 ",,,,,,
,,,1971," 268,865 ","+126,910    ",+89.40          ," 138,858 "," 130,007 ",,,,,,
,,,1981," 335,169 ","+66,304    ",+24.66          ," 170,842 "," 164,327 ",,,,,,
,,,1991," 422,326 ","+87,157    ",+26.0          ," 212,776 "," 209,550 ",,,,,,
,,,2001," 504,198 ","+81,872    ",+19.39          ," 252,507 "," 251,691 ",,,,,,
,,,2011," 613,192 ","+108,994    ",+21.62          ," 303,624 "," 309,568 ",,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
