1,2,3,4,5,6,7,8,9,,,,,,,,,,
20,363,Jamtara,1901," 225,405 ",                     -----,                     -----," 111,651 "," 113,754 ",,,,,,,,,,
,,,1911," 234,519 ","+9,114    ",+4.04          ," 116,261 "," 118,258 ",,,,,,,,,,
,,,1921," 224,059 ","-10,460 ",-4.46 ," 111,611 "," 112,448 ",,,,,,,,,,
,,,1931," 256,100 ","+32,041    ",+14.30          ," 128,071 "," 128,029 ",,,,,,,,,,
,,,1941," 279,114 ","+23,014    ",+8.99          ," 140,077 "," 139,037 ",,,,,,,,,,
,,,1951," 290,056 ","+10,942    ",+3.92          ," 145,849 "," 144,207 ",,,,,,,,,,
,,,1961," 324,745 ","+34,689    ",+11.96          ," 163,828 "," 160,917 ",,,,,,,,,,
,,,1971," 377,711 ","+52,966    ",+16.31          ," 192,854 "," 184,857 ",,,,,,,,,,
,,,1981," 435,284 ","+57,573    ",+15.24          ," 221,280 "," 214,004 ",,,,,,,,,,
,,,1991," 544,874 ","+109,590    ",+25.18          ," 279,430 "," 265,444 ",,,,,,,,,,
,,,2001," 653,081 ","+108,207    ",+19.86          ," 333,514 "," 319,567 ",,,,,,,,,,
,,,2011," 791,042 ","+137,961    ",+21.12          ," 404,830 "," 386,212 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20,364,Ranchi,1901," 477,249 ",                     -----,         -----," 231,877 "," 245,372 ",,,,,,,,,,
,,,1911," 557,488 ","+80,239    ",+16.81          ," 271,907 "," 285,581 ",,,,,,,,,,
,,,1921," 536,346 ","-21,142 ",-3.79 ," 264,698 "," 271,648 ",,,,,,,,,,
,,,1931," 629,863 ","+93,517    ",+17.44          ," 312,314 "," 317,549 ",,,,,,,,,,
,,,1941," 673,376 ","+43,513    ",+6.91          ," 335,877 "," 337,499 ",,,,,,,,,,
,,,1951," 748,050 ","+74,674    ",+11.09          ," 380,649 "," 367,401 ",,,,,,,,,,
,,,1961," 894,921 ","+146,871    ",+19.63          ," 460,371 "," 434,550 ",,,,,,,,,,
,,,1971," 1,164,661 ","+269,740    ",+30.14          ," 604,615 "," 560,046 ",,,,,,,,,,
,,,1981," 1,489,303 ","+324,642    ",+27.87          ," 779,957 "," 709,346 ",,,,,,,,,,
,,,1991," 1,827,718 ","+338,415    ",+22.72          ," 958,139 "," 869,579 ",,,,,,,,,,
,,,2001," 2,350,245 ","+522,527    ",+28.59          ," 1,218,690 "," 1,131,555 ",,,,,,,,,,
,,,2011," 2,914,253 ","+564,008    ",+24.0          ," 1,494,937 "," 1,419,316 ",,,,,,,,,,
20,365,Khunti,1901," 155,506 ",                     -----,                     -----," 75,555 "," 79,951 ",,,,,,,,,,
,,,1911," 181,651 ","+26,145    ",+16.81          ," 88,598 "," 93,053 ",,,,,,,,,,
,,,1921," 174,763 ","-6,888 ",-3.79 ," 86,249 "," 88,514 ",,,,,,,,,,
,,,1931," 205,234 ","+30,471    ",+17.44          ," 101,764 "," 103,470 ",,,,,,,,,,
,,,1941," 219,412 ","+14,178    ",+6.91          ," 109,442 "," 109,970 ",,,,,,,,,,
,,,1951," 243,744 ","+24,332    ",+11.09          ," 121,684 "," 122,060 ",,,,,,,,,,
,,,1961," 270,551 ","+26,807    ",+11.0          ," 134,181 "," 136,370 ",,,,,,,,,,
,,,1971," 309,590 ","+39,039    ",+14.43          ," 153,759 "," 155,831 ",,,,,,,,,,
,,,1981," 334,112 ","+24,522    ",+7.92          ," 165,668 "," 168,444 ",,,,,,,,,,
,,,1991," 386,330 ","+52,218    ",+15.63          ," 194,597 "," 191,733 ",,,,,,,,,,
,,,2001," 434,819 ","+48,489    ",+12.55          ," 218,286 "," 216,533 ",,,,,,,,,,
,,,2011," 531,885 ","+97,066    ",+22.32          ," 266,335 "," 265,550 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20,366,Gumla,1901," 269,183 ",                     -----,             -----," 130,786 "," 138,397 ",,,,,,,,,,
,,,1911," 314,439 ","+45,256    ",+16.81          ," 153,364 "," 161,075 ",,,,,,,,,,
,,,1921," 302,516 ","-11,923 ",-3.79 ," 149,298 "," 153,218 ",,,,,,,,,,
,,,1931," 355,262 ","+52,746    ",17.44," 176,155 "," 179,107 ",,,,,,,,,,
,,,1941," 379,804 ","+24,542    ",+6.91          ," 189,445 "," 190,359 ",,,,,,,,,,
,,,1951," 421,922 ","+42,118    ",+11.09          ," 211,419 "," 210,503 ",,,,,,,,,,
,,,1961," 484,924 ","+63,002    ",+14.93          ," 239,913 "," 245,011 ",,,,,,,,,,
,,,1971," 557,041 ","+72,117    ",+14.87          ," 276,580 "," 280,461 ",,,,,,,,,,
,,,1981," 613,331 ","+56,290    ",+10.11          ," 303,520 "," 309,811 ",,,,,,,,,,
,,,1991," 707,555 ","+94,224    ",+15.36          ," 357,208 "," 350,347 ",,,,,,,,,,
,,,2001," 832,447 ","+124,892    ",+17.65          ," 418,784 "," 413,663 ",,,,,,,,,,
,,,2011," 1,025,213 ","+192,766    ",+23.16          ," 514,390 "," 510,823 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20,367,Simdega,1901," 179,857 ",                     -----,        -----," 87,386 "," 92,471 ",,,,,,,,,,
,,,1911," 210,096 ","+30,239    ",+16.81          ," 102,471 "," 107,625 ",,,,,,,,,,
,,,1921," 202,128 ","-7,968 ",-3.79," 99,755 "," 102,373 ",,,,,,,,,,
,,,1931," 237,371 ","+35,243    ",+17.44          ," 117,699 "," 119,672 ",,,,,,,,,,
,,,1941," 253,770 ","+16,399    ",+6.91          ," 126,579 "," 127,191 ",,,,,,,,,,
,,,1951," 281,912 ","+28,142    ",+11.09          ," 141,175 "," 140,737 ",,,,,,,,,,
,,,1961," 315,806 ","+33,894    ",+12.02          ," 156,771 "," 159,035 ",,,,,,,,,,
,,,1971," 378,731 ","+62,925    ",+19.93          ," 188,971 "," 189,760 ",,,,,,,,,,
,,,1981," 403,900 ","+25,169    ",+6.65          ," 200,422 "," 203,478 ",,,,,,,,,,
,,,1991," 446,421 ","+42,521    ",+10.53          ," 223,521 "," 222,900 ",,,,,,,,,,
,,,2001," 514,320 ","+67,899    ",+15.21          ," 256,985 "," 257,335 ",,,,,,,,,,
,,,2011," 599,578 ","+85,258    ",+16.58          ," 300,309 "," 299,269 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20,368,Pashchimi Singhbhum,1901," 356,991 ",                     -----,                     -----," 176,246 "," 180,745 ",,,,,,,,,,
,,,1911," 398,590 ","+41,599    ",+11.65          ," 196,231 "," 202,359 ",,,,,,,,,,
,,,1921," 421,587 ","+22,997    ",+5.77          ," 210,388 "," 211,199 ",,,,,,,,,,
,,,1931," 515,137 ","+93,550    ",+22.19          ," 258,991 "," 256,146 ",,,,,,,,,,
,,,1941," 614,298 ","+99,161    ",+19.25          ," 309,803 "," 304,495 ",,,,,,,,,,
,,,1951," 667,390 ","+53,092    ",+8.64          ," 330,467 "," 336,923 ",,,,,,,,,,
,,,1961," 765,128 ","+97,738    ",+14.64          ," 379,235 "," 385,893 ",,,,,,,,,,
,,,1971," 879,564 ","+114,436    ",+14.96          ," 440,419 "," 439,145 ",,,,,,,,,,
