1,2,3,4,5,6,7,8,9,,,,,,,,,,,
,,,1911," 43,638 ",+11704          ,+36.65          ," 21,886 "," 21,752 ",,,,,,,,,,,
,,,1921," 45,885 ",+2247          ,+5.15          ," 23,073 "," 22,812 ",,,,,,,,,,,
,,,1931," 51,450 ",+5565          ,+12.13          ," 25,722 "," 25,728 ",,,,,,,,,,,
,,,1941," 60,992 ",+9542          ,+18.54          ," 30,410 "," 30,582 ",,,,,,,,,,,
,,,1951," 71,143 ",+10151          ,+16.65          ," 37,574 "," 33,569 ",,,,,,,,,,,
,,,1961," 91,717 ",+20574          ,+28.92          ," 45,674 "," 46,043 ",,,,,,,,,,,
,,,1971," 115,107 ",+23390          ,+25.50          ," 57,447 "," 57,660 ",,,,,,,,,,,
,,,1981," 148,888 ",+33781          ,+29.35          ," 74,614 "," 74,274 ",,,,,,,,,,,
,,,1991," 196,684 ",+47796          ,+32.10          ," 98,723 "," 97,961 ",,,,,,,,,,,
,,,2001," 234,637 ",+37953          ,+19.30          ," 117,555 "," 117,082 ",,,,,,,,,,,
,,,2011," 255,230 ",+20593          ,+8.78          ," 128,663 "," 126,567 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,, Note:- District formed  after 2001 census is shown in Italics print. ,,,,,,,,,,,,,,,,,
