,,A-2: DECADAL VARIATION IN POPULATION SINCE 1901,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding Census,,Males,Females,,
Code,Code,,,,Absolute,Percentage,,,,
,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,
,,,1911,"788,298","-69,532",-8.11,"394,869","393,429",,
,,,1921,"781,333","-6,965",-0.88,"399,042","382,291",,
,,,1931,"824,721","+43,388    ",+5.55    ,"422,729","401,992",,
,,,1941,"985,081","+160,360    ",+19.44    ,"499,624","485,457",,
,,,1951,"1,140,932","+155,851    ",+15.82    ,"570,549","570,383",,
,,,1961,"1,321,578","+180,646    ",+15.83    ,"654,246","667,332",,
,,,1971,"1,531,654","+210,076    ",+15.90    ,"774,616","757,038",,
,,,1981,"1,944,669","+413,015    ",+26.97    ,"978,160","966,509",,
,,,1991,"2,416,617","+471,948    ",+24.27    ,"1,234,615","1,182,002",,
,,,2001,"3,037,582","+620,965    ",+25.70    ,"1,537,141","1,500,441",,
,,,2011," 3,620,268 ","+582,686    ",+19.18    ," 1,855,075 "," 1,765,193 ",,
,,,,,,,,,,
09,196,Chandauli ,1901,"354,167",-,-,"177,018","177,149",,
,,,1911,"356,001","+1,834    ",+0.52    ,"178,542","177,459",,
,,,1921,"361,609","+5,608    ",+1.58    ,"183,946","177,663",,
,,,1931,"387,128","+25,519    ",+7.06    ,"197,805","189,323",,
,,,1941,"459,271","+72,143    ",+18.64    ,"234,798","224,473",,
,,,1951,"544,097","+84,826    ",+18.47    ,"276,008","268,089",,
,,,1961,"659,347","+115,250    ",+21.18    ,"337,387","321,960",,
,,,1971,"780,732","+121,385    ",+18.41    ,"407,532","373,200",,
,,,1981,"1,001,246","+220,514    ",+28.24    ,"521,998","479,248",,
,,,1991,"1,274,839","+273,593    ",+27.33    ,"668,672","606,167",,
,,,2001,"1,643,251","+368,412    ",+28.90    ,"855,123","788,128",,
,,,2011," 1,952,756 ","+309,505    ",+18.83    ," 1,017,905 "," 934,851 ",,
,,,,,,,,,,
09,197,Varanasi,1901,"681,858",-,-,"340,802","341,056",,
,,,1911,"685,391","+3,533    ",+0.52    ,"343,737","341,654",,
,,,1921,"696,188","+10,797    ",+1.58    ,"354,140","342,048",,
,,,1931,"745,318","+49,130    ",+7.06    ,"380,824","364,494",,
