,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,
State,District,State/District,Census,Persons,Variation since the preceding census ,,Males,Females,,,,,
Code,Code,, Year,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,
,,,1971," 1,208,007 ","+244,388    ",+25.36          ," 613,149 "," 594,858 ",,,,,
,,,1981," 1,442,258 ","+234,251    ",+19.39          ," 730,579 "," 711,679 ",,,,,
,,,1991," 1,786,138 ","+343,880    ",+23.84          ," 913,890 "," 872,248 ",,,,,
,,,2001," 2,174,742 ","+388,604    ",+21.76          ," 1,110,442 "," 1,064,300 ",,,,,
,,,2011," 2,566,326 ","+391,584    ",+18.01          ," 1,301,755 "," 1,264,571 ",,,,,
,,,,,,,,,,,,,
29,580,Yadgir  ,1901," 296,302 ",                   ----,                      ----," 150,096 "," 146,206 ",,,,,
,,,1911," 323,617 ","+27,315    ",+9.22          ," 163,837 "," 159,780 ",,,,,
,,,1921," 297,917 ","-25,700 ",-7.94 ," 150,978 "," 146,939 ",,,,,
,,,1931," 332,354 ","+34,437    ",+11.56          ," 168,731 "," 163,623 ",,,,,
,,,1941," 355,577 ","+23,223    ",+6.99          ," 181,450 "," 174,127 ",,,,,
,,,1951," 407,214 ","+51,637    ",+14.52          ," 201,699 "," 205,515 ",,,,,
,,,1961," 435,838 ","+28,624    ",+7.03          ," 216,659 "," 219,179 ",,,,,
,,,1971," 531,213 ","+95,375    ",+21.88          ," 264,993 "," 266,220 ",,,,,
,,,1981," 638,385 ","+107,172    ",+20.17          ," 319,608 "," 318,777 ",,,,,
,,,1991," 796,031 ","+157,646    ",+24.69          ," 402,198 "," 393,833 ",,,,,
,,,2001," 956,180 ","+160,149    ",+20.12          ," 482,347 "," 473,833 ",,,,,
,,,2011," 1,174,271 ","+218,091    ",+22.81          ," 590,329 "," 583,942 ",,,,,
,,,,,,,,,,,,,
29,581,Kolar  ,1901," 392,651 ",                   ----,                      ----," 200,654 "," 191,997 ",,,,,
,,,1911," 429,193 ","+36,542    ",+9.31          ," 219,369 "," 209,824 ",,,,,
,,,1921," 436,066 ","+6,873    ",+1.60          ," 223,299 "," 212,767 ",,,,,
,,,1931," 469,811 ","+33,745    ",+7.74          ," 240,268 "," 229,543 ",,,,,
,,,1941," 555,545 ","+85,734    ",+18.25          ," 284,866 "," 270,679 ",,,,,
,,,1951," 650,807 ","+95,262    ",+17.15          ," 327,381 "," 323,426 ",,,,,
,,,1961," 721,822 ","+71,015    ",+10.91          ," 365,201 "," 356,621 ",,,,,
,,,1971," 826,563 ","+104,741    ",+14.51          ," 420,368 "," 406,195 ",,,,,
,,,1981," 1,044,394 ","+217,831    ",+26.35          ," 528,176 "," 516,218 ",,,,,
,,,1991," 1,211,858 ","+167,464    ",+16.03          ," 614,430 "," 597,428 ",,,,,
,,,2001," 1,387,062 ","+175,204    ",+14.46          ," 701,677 "," 685,385 ",,,,,
,,,2011," 1,536,401 ","+149,339    ",+10.77          ," 776,396 "," 760,005 ",,,,,
,,,,,,,,,,,,,
