,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,,,,,,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951," 38,322 ","+5,099    ",+15.35          ," 18,929 "," 19,393 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1961," 44,624 ","+6,302    ",+16.44          ," 22,451 "," 22,173 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 56,202 ","+11,578    ",+25.95          ," 28,413 "," 27,789 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 72,878 ","+16,676    ",+29.67          ," 37,179 "," 35,699 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 96,535 ","+23,657    ",+32.46          ," 49,145 "," 47,390 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 154,598 ","+58,063    ",+60.15          ," 79,392 "," 75,206 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 140,757 ","-13,841",-8.95," 71,217 "," 69,540 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,264,Wokha,1901," 10,287 ", -, -," 5,214 "," 5,073 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1911," 14,783 ","+4,496    ",+43.71          ," 7,068 "," 7,715 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1921," 16,429 ","+1,646    ",+11.13          ," 7,949 "," 8,480 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1931," 18,674 ","+2,245    ",+13.66          ," 9,139 "," 9,535 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1941," 21,320 ","+2,646    ",+14.17          ," 10,376 "," 10,944 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1951," 25,306 ","+3,986    ",+18.70          ," 12,422 "," 12,884 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1961," 29,554 ","+4,248    ",+16.79          ," 15,530 "," 14,024 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 38,587 ","+9,033    ",+30.56          ," 19,493 "," 19,094 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 57,851 ","+19,264    ",+49.92          ," 30,152 "," 27,699 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 82,612 ","+24,761    ",+42.80          ," 43,090 "," 39,522 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 161,223 ","+78,611    ",+95.16          ," 83,670 "," 77,553 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 166,343 ","+5,120    ",+3.18          ," 84,505 "," 81,838 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,265,Dimapur,1901," 8,364 ", -, -," 4,239 "," 4,125 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1911," 12,471 ","+4,107    ",+49.10          ," 6,476 "," 5,995 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1921," 12,869 ",+398    ,+3.19          ," 6,648 "," 6,221 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1931," 14,387 ","+1,518    ",+11.80          ," 7,332 "," 7,055 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1941," 14,317 ",-70,-0.49," 7,191 "," 7,126 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1951," 14,217 ",-100,-0.70," 7,276 "," 6,941 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1961," 15,767 ","+1,550    ",+10.90          ," 9,051 "," 6,716 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 42,002 ","+26,235    ",+166.39          ," 25,549 "," 16,453 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 111,594 ","+69,592    ",+165.69          ," 65,351 "," 46,243 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 176,925 ","+65,331    ",+58.54          ," 96,725 "," 80,200 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 308,174 ","+131,249    ",+74.18          ," 166,247 "," 141,927 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 378,811 ","+70,637    ",+22.92          ," 197,394 "," 181,417 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,266,Phek,1901," 17,826 ", -, -," 9,036 "," 8,790 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1911," 26,577 ","+8,751    ",+49.09          ," 13,800 "," 12,777 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1921," 27,425 ",+848    ,+3.19          ," 14,167 "," 13,258 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1931," 30,661 ","+3,236    ",+11.80          ," 15,627 "," 15,034 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1941," 30,511 ",-150,-0.49," 15,325 "," 15,186 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1951," 30,299 ",-212,-0.69," 15,493 "," 14,806 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1961," 33,656 ","+3,357    ",+11.08          ," 17,536 "," 16,120 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 44,594 ","+10,938    ",+32.50          ," 23,390 "," 21,204 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 70,618 ","+26,024    ",+58.36          ," 37,699 "," 32,919 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 102,156 ","+31,538    ",+44.66          ," 54,339 "," 47,817 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 148,195 ","+46,039    ",+45.07          ," 77,141 "," 71,054 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 163,418 ","+15,223    ",+10.27          ," 83,743 "," 79,675 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,267,Tuensang,1901, NA , -, -, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1911, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1921, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1931, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1941, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951," 7,025 ",NA,NA," 3,447 "," 3,578 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1961," 44,172 ","+37,147    ",+528.78          ," 22,737 "," 21,435 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 58,078 ","+13,906    ",+31.48          ," 30,882 "," 27,196 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 82,114 ","+24,036    ",+41.39          ," 43,494 "," 38,620 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 113,041 ","+30,927    ",+37.66          ," 59,805 "," 53,236 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 186,003 ","+72,962    ",+64.54          ," 97,879 "," 88,124 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 196,596 ","+10,593    ",+5.70          ," 101,933 "," 94,663 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,268,Longleng,1901, NA , -, -, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1911, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1921, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1931, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1941, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961," 14,390 ",NA,NA," 7,346 "," 7,044 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 19,423 ","+5,033    ",+34.98          ," 10,167 "," 9,256 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 25,704 ","+6,281    ",+32.34          ," 13,630 "," 12,074 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 67,703 ","+41,999    ",+163.39          ," 36,268 "," 31,435 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 121,581 ","+53,878    ",+79.58          ," 64,371 "," 57,210 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 50,484 ","-71,097",-58.48," 26,502 "," 23,982 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,269,Kiphire,1901, NA , -, -, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1911, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1921, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1931, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1941, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951, NA ,NA,NA, NA , NA ,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961," 15,635 ",NA,NA," 7,881 "," 7,754 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 18,398 ","+2,763    ",+17.67          ," 9,122 "," 9,276 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 28,931 ","+10,533    ",+57.25          ," 15,174 "," 13,757 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 51,845 ","+22,914    ",+79.20          ," 27,061 "," 24,784 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 106,591 ","+54,746    ",+105.60          ," 56,092 "," 50,499 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 74,004 ","-32,587",-30.57," 37,830 "," 36,174 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,270,Kohima,1901," 21,968 ", -, -," 11,135 "," 10,833 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1911," 32,750 ","+10,782    ",+49.08          ," 17,006 "," 15,744 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1921," 33,797 ","+1,047    ",+3.20          ," 17,458 "," 16,339 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1931," 37,785 ","+3,988    ",+11.80          ," 19,257 "," 18,528 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1941," 37,601 ",-184,-0.49," 18,885 "," 18,716 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1951," 37,339 ",-262,-0.70," 19,087 "," 18,252 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1961," 41,501 ","+4,162    ",+11.15          ," 22,266 "," 19,235 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 63,077 ","+21,576    ",+51.99          ," 35,259 "," 27,818 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 97,169 ","+34,092    ",+54.05          ," 52,855 "," 44,314 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 154,145 ","+56,976    ",+58.64          ," 82,371 "," 71,774 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 220,168 ","+66,023    ",+42.83          ," 116,025 "," 104,143 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 267,988 ","+47,820    ",+21.72          ," 138,966 "," 129,022 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,271,Peren,1901," 6,179 ", -, -," 3,132 "," 3,047 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1911," 9,212 ","+3,033    ",+49.09          ," 4,783 "," 4,429 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1921," 9,507 ",+295    ,+3.20          ," 4,911 "," 4,596 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1931," 10,627 ","+1,120    ",+11.78          ," 5,416 "," 5,211 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1941," 10,576 ",-51,-0.48," 5,312 "," 5,264 ",,,,,,,,,,,,,,,,,,,,,,,,
,,@,1951," 10,502 ",-74,-0.70," 5,370 "," 5,132 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1961," 11,666 ","+1,164    ",+11.08          ," 5,781 "," 5,885 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 16,674 ","+5,008    ",+42.93          ," 8,411 "," 8,263 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 29,984 ","+13,310    ",+79.82          ," 15,611 "," 14,373 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 56,511 ","+26,527    ",+88.47          ," 29,694 "," 26,817 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 90,766 ","+34,255    ",+60.62          ," 46,642 "," 44,124 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 95,219 ","+4,453    ",+4.91          ," 49,714 "," 45,505 ",,,,,,,,,,,,,,,,,,,,,,,,
,Notes:-,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   ,,,,,,,,,,
,i), District formed after 2001 Census are shown in italics print.,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   ,,,,,,,,,,
,ii)," In 1951,Tuensang was censused for the first time for 129.5 Sq. Kms. Of of area only which was increased ",,,,,,,,,,,,,,,, -   , -   , -   , -   , -   ,,,,,,,,,,
,,"    to 5,356.1 Sq. Kms. In 1961 Census. Hence, for calculating decadal variation and percentage decadal ",,,,,,,,,,,,,,,, -   , -   , -   , -   , -   ,,,,,,,,,,
,,"    variation, the population of these areas have not been taken into account for 1951 and 1961.",,,,,,,,,,,,,,,, -   , -   , -   , -   , -   ,,,,,,,,,,
,iii)," Due to non - availability of adequate census data, the population figures in respect of Tuensang and Mon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    Districts could not be recast  for decades 1901 to 1951.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iv),"*  While working out decade variation , the population of 7,025 under Tuensang district for 1951 census have",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    not been taken into account as the area was censused for the first in 1951. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,v),"** While working out decade variation, the population of 74,392 and 59,883 under Tuensang and Mon district ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    respectively for 1961 census have not been taken into account as the area was censused for the first time in 1961.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vi), @ 1951 Census figure of Peren District were estimated because Census in Nagaland in 1951 was conducted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,under Assam & it is not possible to link villages under Peren from DCHB due to difference in village name (spelling).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
