,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,
,,,2011," 5,838,465 ","+1,119,873    ",+23.73          ," 3,078,512 "," 2,759,953 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,231,Bhojpur,1901,"641,566",-,-,"306,140","335,426",,,,,,,,,,
,,,1911,"609,751","-31,815 ",-4.96 ,"295,778","313,973",,,,,,,,,,
,,,1921,"593,796","-15,955 ",-2.62 ,"292,697","301,099",,,,,,,,,,
,,,1931,"652,468","+58,672    ",+9.88          ,"327,017","325,451",,,,,,,,,,
,,,1941,"762,131","+109,663    ",+16.81          ,"384,800","377,331",,,,,,,,,,
,,,1951,"879,888","+117,757    ",+15.45          ,"438,512","441,376",,,,,,,,,,
,,,1961,"1,021,109","+141,221    ",+16.05          ,"503,366","517,743",,,,,,,,,,
,,,1971,"1,230,052","+208,943    ",+20.46          ,"622,215","607,837",,,,,,,,,,
,,,1981,"1,490,714","+260,662    ",+21.19          ,"763,064","727,650",,,,,,,,,,
,,,1991,"1,792,771","+302,057    ",+20.26          ,"941,745","851,026",,,,,,,,,,
,,,2001,"2,243,144","+450,373    ",+25.12          ,"1,179,611","1,063,533",,,,,,,,,,
,,,2011," 2,728,407 ","+485,263    ",+21.63          ," 1,430,380 "," 1,298,027 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,232,Buxar,1901,"391,371",-,-,"186,753","204,618",,,,,,,,,,
,,,1911,"371,963","-19,408 ",-4.96 ,"180,431","191,532",,,,,,,,,,
,,,1921,"362,231","-9,732 ",-2.62 ,"178,553","183,678",,,,,,,,,,
,,,1931,"398,022","+35,791    ",+9.88          ,"199,488","198,534",,,,,,,,,,
,,,1941,"464,919","+66,897    ",+16.81          ,"234,738","230,181",,,,,,,,,,
,,,1951,"536,754","+71,835    ",+15.45          ,"270,519","266,235",,,,,,,,,,
,,,1961,"635,988","+99,234    ",+18.49          ,"318,965","317,023",,,,,,,,,,
,,,1971,"765,094","+129,106    ",+20.30          ,"392,063","373,031",,,,,,,,,,
,,,1981,"916,886","+151,792    ",+19.84          ,"475,444","441,442",,,,,,,,,,
,,,1991,"1,087,676","+170,790    ",+18.63          ,"577,205","510,471",,,,,,,,,,
,,,2001,"1,402,396","+314,720    ",+28.94          ,"738,354","664,042",,,,,,,,,,
