,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,,
,,,1991," 1,365,870 ","+218,060    ",+19.0          ," 682,260 "," 683,610 ",,,,,,,,,,,
,,,2001," 1,497,968 ","+132,098    ",+9.67          ," 740,749 "," 757,219 ",,,,,,,,,,,
,,,2011," 1,701,698 ","+203,730    ",+13.60          ," 842,178 "," 859,520 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
23,458,Guna,1901," 182,142 ",-,-, NA , NA ,,,,,,,,,,,
,,,1911," 215,344 ","+33,202    ",+18.23          ," 112,277 "," 103,067 ",,,,,,,,,,,
,,,1921," 209,012 ","-6,332 ",-2.94 ," 109,540 "," 99,472 ",,,,,,,,,,,
,,,1931," 232,732 ","+23,720    ",+11.35          ," 122,408 "," 110,324 ",,,,,,,,,,,
,,,1941," 260,822 ","+28,090    ",+12.07          ," 136,939 "," 123,883 ",,,,,,,,,,,
,,,1951," 263,614 ","+2,792    ",+1.07          ," 137,984 "," 125,630 ",,,,,,,,,,,
,,,1961," 318,030 ","+54,416    ",+20.64          ," 168,409 "," 149,621 ",,,,,,,,,,,
,,,1971," 426,292 ","+108,262    ",+34.04          ," 226,567 "," 199,725 ",,,,,,,,,,,
,,,1981," 557,434 ","+131,142    ",+30.76          ," 296,279 "," 261,155 ",,,,,,,,,,,
,,,1991," 751,060 ","+193,626    ",+34.74          ," 400,242 "," 350,818 ",,,,,,,,,,,
,,,2001," 977,827 ","+226,767    ",+30.19          ," 517,388 "," 460,439 ",,,,,,,,,,,
,,,2011," 1,241,519 ","+263,692    ",+26.97          ," 649,362 "," 592,157 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
23,459,Ashoknagar,1901," 150,821 ",-,-, NA , NA ,,,,,,,,,,,
,,,1911," 178,313 ","+27,492    ",+18.23          ," 92,969 "," 85,344 ",,,,,,,,,,,
,,,1921," 173,070 ","-5,243 ",-2.94 ," 90,704 "," 82,366 ",,,,,,,,,,,
,,,1931," 192,710 ","+19,640    ",+11.35          ," 101,358 "," 91,352 ",,,,,,,,,,,
